word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
բայց	69	37.85800504773401	4.578157724799778	4	4	բաց, բայցև, հայց, բայդ	1.8	3.0403386297265045	0.3686849433244933	0.0	baɪtsʰ	2	batsʰ, haɪtsʰ	2.2	3.190853627558495	0.4515449934959719	0.0	2	բաց(batsʰ), հայց(haɪtsʰ)	2.25	3.190853627558495	0.4515449934959719	0.0	6
չի	65	35.66333808844508	4.5522219907053785	2	7	չէ, չէի, զի, լի, փչի, ձի, չե	1.65	3.373724217214697	0.6838239806467413	0.238095238095238	tʃʰi	3	tʃʰe, tʃʰei, tʃʰe	1.85	3.1313390537477503	0.5544147363816646	0.6666666666666666	5	չէ(tʃʰe), չէ(tʃʰe), չէի(tʃʰei), չե(tʃʰe), չե(tʃʰe)	1.9	3.7600420168118815	0.8816612408395403	0.2	4
բան	64	35.11467134862285	4.54548860804641	3	20	քան, կան, յան, բանի, բաց, տան, բավ, բառ, վան, բանն, բառն, բանկ, բահ, բանտ, շան, բանը, ժան, բա, ման, բախ	1.0	3.1796870089360505	0.439909042401828	0.2894736842105263	ban	17	kan, jan, bani, tan, bav, bar, van, bun, bank, bah, bant, ʃan, banə, ʒan, ba, man, baχ	1.15	3.093641805721217	0.4059425562092578	0.2720588235294117	16	կան(kan), յան(jan), բանի(bani), տան(tan), բավ(bav), բառ(bar), վան(van), բանկ(bank), բահ(bah), բանտ(bant), շան(ʃan), բանը(banə), ժան(ʒan), բա(ba), ման(man), բախ(baχ)	1.2	3.0969732542208868	0.4182104954933124	0.3083333333333333	3
ուրեմն	64	35.11467134862285	4.54548860804641	6	1	ուրեն	2.65	2.7393086340625232	0.0	0.0	uɹemən	0		2.65			0.0	0		2.8			0.0	6
միայն	63	34.56600460880061	4.538649183516105	5	2	միյայն, միակն	1.9	2.7393086340625232	0.0	0.0	miaɪn	1	mijaɪn	2.35	2.7393086340625232	0.0	0.0	1	միյայն(mijaɪn)	2.35	2.7393086340625232	0.0	0.0	5
ամեն	62	34.01733786897838	4.531700323560777	4	4	ամենն, ամենը, անեն, ամենի	1.8	3.2516131397300687	0.2280797124162983	0.5	amen	3	amenə, anen, ameni	1.85	3.1406819616144985	0.1419069008497054	0.3333333333333333	3	ամենը(amenə), անեն(anen), ամենի(ameni)	1.85	3.1406819616144985	0.1419069008497054	0.3333333333333333	4
պարոն	61	33.46867112915615	4.52463846907329	5	5	պարոնը, պարդոն, պարքն, պարն, պարոնն	1.75	2.8347328850064555	0.190848501887865	0.2	paɹon	2	paɹonə, paɹən	1.9	2.9778692614223545	0.2385606273598313	0.0	2	պարոնը(paɹonə), պարն(paɹən)	1.9	2.9778692614223545	0.2385606273598313	0.0	5
արդեն	60	32.92000438933392	4.517459884446167	5	0		2.0			0.0	arden	0		2.0			0.0	0		2.4			0.0	5
օհ	59	32.37133764951169	4.510160645704668	2	3	օր, ահ, օօհ	1.85	3.4546846459552696	0.590913676567926	0.0	oh	6	ov, or, ah, ooh, ɡoh, uh	1.7	3.384375951609028	0.7140590129822934	0.2	3	օր(or), ահ(ah), օօհ(ooh)	1.85	3.4546846459552696	0.590913676567926	0.0	2
շատ	56	30.72533743004499	4.487496661068724	3	5	վատ, շաղ, շան, շատի, հատ	1.75	2.947587171094168	0.4165570740632902	0.2	ʃat	6	vat, ʃut, ʃaʀ, ʃan, ʃati, hat	1.7	3.079540748255561	0.4813092172279469	0.1333333333333333	5	վատ(vat), շաղ(ʃaʀ), շան(ʃan), շատի(ʃati), հատ(hat)	1.75	2.947587171094168	0.4165570740632902	0.2	3
նրանց	55	30.17667069022276	4.479671323556767	5	5	նրան, նրանից, դրանց, նրանն, սրանց	1.75	3.5889621547694524	0.6661768417258016	0.2	nəɹantsʰ	3	nəɹanitsʰ, dəɹantsʰ, səɹantsʰ	2.55	3.358419466206279	0.512604665017449	0.3333333333333333	3	նրանից(nəɹanitsʰ), դրանց(dəɹantsʰ), սրանց(səɹantsʰ)	2.55	3.358419466206279	0.512604665017449	0.3333333333333333	8
բարի	55	30.17667069022276	4.479671323556767	4	11	արի, տարի, բանի, բարև, բացի, բերի, բարին, բարիք, քարի, չարի, կարի	1.45	3.3340390218731017	0.3832045675630365	0.2181818181818181	baɹi	6	aɹi, taɹi, bani, beɹi, baɹin, kaɹi	1.7	3.4197489304220454	0.4555509172743139	0.2	6	արի(aɹi), տարի(taɹi), բանի(bani), բերի(beɹi), բարին(baɹin), կարի(kaɹi)	1.7	3.4197489304220454	0.4555509172743139	0.2	4
