word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
کلے	1	0.7624566352788685	2.882215148222559	3	18	ملے, کتے, بلے, کلب, گلے, کسے, کھلے, کلو, کلف, کلپ, کلک, پلے, آلے, جلے, نکلے, ہلے, کلی, کرلے	1.1	3.45167138555807	0.4350518734079103	0.2483660130718954	kʌleː	7.0	bʌleː, ɡʌleː, pʌleː, ɟʌleː, hʌleː, kʌrleː, cʌleː	1.65	3.233556932188164	0.2973234332446477	0.7142857142857143	6.0	بلے(bʌleː), گلے(ɡʌleː), پلے(pʌleː), جلے(ɟʌleː), ہلے(hʌleː), کرلے(kʌrleː)	1.7	3.2921138961824314	0.2813047014482108	0.6666666666666666	5
والٹ	1	0.7624566352788685	2.882215148222559	4	9	والا, والد, والی, وائٹ, وال, الٹ, وایٹ, فالٹ, وولٹ	1.55	3.864015260088676	0.8137110490775952	0.2222222222222222	ʋaːlʈ	5.0	ʋaːli, ʋaːl, faːlʈ, ʋoːlʈ, ʋaːla	1.75	3.327277004567732	0.5707492425077719	0.3	4.0	والی(ʋaːli), وال(ʋaːl), فالٹ(faːlʈ), وولٹ(ʋoːlʈ)	1.8	3.438542468654025	0.587616673340115	0.1666666666666666	5
ایکواڈور	1	0.7624566352788685	2.882215148222559	8	0		3.8			0.0	eːkʋaːɖoːr	0.0		4.8			0.0	0.0		4.8			0.0	10
بلوں	1	0.7624566352788685	2.882215148222559	4	13	بچوں, بالوں, لوں, بموں, دلوں, بولوں, بلوط, ملوں, بڑوں, بلوز, بلیوں, بتوں, چلوں	1.35	3.3279985781981294	0.4970783623230747	0.1794871794871795	bʌlõː	5.0	bʌcõː, bʌmõː, mʌlõː, bʌliõː, cʌlõː	1.75	3.402627146488152	0.5986035585211246	0.2	5.0	بچوں(bʌcõː), بموں(bʌmõː), ملوں(mʌlõː), بلیوں(bʌliõː), چلوں(cʌlõː)	1.75	3.402627146488152	0.5986035585211246	0.2	6
شاگردوں	1	0.7624566352788685	2.882215148222559	7	0		2.85			0.0	ʃaːɡɪrdõː	0.0		4.1			0.0	0.0		4.1			0.0	10
ندیم	1	0.7624566352788685	2.882215148222559	4	2	قدیم, نیم	1.9	3.1832451438865403	0.3010299956639812	0.0	nədiːm	1.0	qədiːm	2.2	3.4842751395505216	0.0	0.0	1.0	قدیم(qədiːm)	2.2	3.4842751395505216	0.0	0.0	6
ہمہے	1	0.7624566352788685	2.882215148222559	4	0		2.0			0.0	hʌmheː	2.0	hʌmleː, lʌmheː	2.0	4.450258196914607	0.0117405479247616	0.0	0.0		2.2			0.0	6
نکلوجلدی	1	0.7624566352788685	2.882215148222559	8	0		4.4			0.0	nɪkluːɟəldi	0.0		6.3			0.0	0.0		6.3			0.0	11
معدنیات	1	0.7624566352788685	2.882215148222559	7	0		3.2			0.0	maːdniaːt	0.0		3.3			0.0	0.0		3.8			0.0	9
بامقصد	1	0.7624566352788685	2.882215148222559	6	0		3.2			0.0	baːməqəʂəd	0.0		5.45			0.0	0.0		5.5			0.0	10
